frame_left,frame_right,frame_top,frame_bottom,xL,yL,xR,yR,xT,yT,xB,yB,id,confidence
3,3,3,3,369.000,66.000,387.000,67.000,369.000,66.000,387.000,67.000,3008,0.883063
3,3,3,3,331.000,146.000,345.000,156.000,331.000,146.000,345.000,156.000,3009,0.881906
3,3,3,3,332.000,142.000,347.000,150.000,332.000,142.000,347.000,150.000,3010,0.880017
3,3,3,3,330.000,156.000,345.000,165.000,330.000,156.000,345.000,165.000,3011,0.876817
3,3,3,3,342.000,192.000,355.000,208.000,342.000,192.000,355.000,208.000,3012,0.875770
3,3,3,3,363.000,14.000,382.000,11.000,363.000,14.000,382.000,11.000,3013,0.873146
3,3,3,3,383.000,69.000,403.000,70.000,383.000,69.000,403.000,70.000,3014,0.872938
3,3,3,3,373.000,80.000,392.000,83.000,373.000,80.000,392.000,83.000,3015,0.869563
3,3,3,3,324.000,155.000,335.000,165.000,324.000,155.000,335.000,165.000,3016,0.869349
3,3,3,3,329.000,142.000,339.000,147.000,329.000,142.000,339.000,147.000,3017,0.867703
3,3,3,3,378.000,136.000,399.000,148.000,378.000,136.000,399.000,148.000,3018,0.866272
3,3,3,3,250.000,322.000,250.000,339.000,250.000,322.000,250.000,339.000,3019,0.863953
3,3,3,3,252.000,315.000,252.000,328.000,252.000,315.000,252.000,328.000,3020,0.860367
3,3,3,3,330.000,20.000,343.000,16.000,330.000,20.000,343.000,16.000,3021,0.857559
3,3,3,3,390.000,132.000,408.000,145.000,390.000,132.000,408.000,145.000,3022,0.857213
3,3,3,3,390.000,136.000,409.000,150.000,390.000,136.000,409.000,150.000,3023,0.855724
3,3,3,3,231.000,347.000,232.000,360.000,231.000,347.000,232.000,360.000,3024,0.849806
3,3,3,3,371.000,17.000,388.000,19.000,371.000,17.000,388.000,19.000,3025,0.847137
3,3,3,3,410.000,55.000,432.000,58.000,410.000,55.000,432.000,58.000,3026,0.846530
3,3,3,3,252.000,305.000,255.000,320.000,252.000,305.000,255.000,320.000,3027,0.843205
3,3,3,3,371.000,106.000,389.000,115.000,371.000,106.000,389.000,115.000,3028,0.842681
3,3,3,3,370.000,92.000,388.000,98.000,370.000,92.000,388.000,98.000,3029,0.841646
3,3,3,3,272.000,22.000,282.000,20.000,272.000,22.000,282.000,20.000,3030,0.839710
3,3,3,3,212.000,337.000,215.000,348.000,212.000,337.000,215.000,348.000,3031,0.839364
3,3,3,3,410.000,45.000,430.000,51.000,410.000,45.000,430.000,51.000,3032,0.837642
3,3,3,3,400.000,132.000,420.000,142.000,400.000,132.000,420.000,142.000,3033,0.837347
3,3,3,3,376.000,106.000,393.000,114.000,376.000,106.000,393.000,114.000,3034,0.833757
3,3,3,3,392.000,139.000,413.000,153.000,392.000,139.000,413.000,153.000,3035,0.833160
3,3,3,3,423.000,48.000,444.000,52.000,423.000,48.000,444.000,52.000,3036,0.832365
3,3,3,3,199.000,346.000,199.000,359.000,199.000,346.000,199.000,359.000,3037,0.832302
3,3,3,3,397.000,232.000,416.000,259.000,397.000,232.000,416.000,259.000,3038,0.832077
3,3,3,3,400.000,142.000,420.000,153.000,400.000,142.000,420.000,153.000,3039,0.830798
3,3,3,3,259.000,304.000,264.000,320.000,259.000,304.000,264.000,320.000,3040,0.830197
3,3,3,3,430.000,46.000,456.000,52.000,430.000,46.000,456.000,52.000,3041,0.828713
3,3,3,3,274.000,16.000,288.000,12.000,274.000,16.000,288.000,12.000,3042,0.825744
3,3,3,3,417.000,44.000,438.000,46.000,417.000,44.000,438.000,46.000,3043,0.823335
3,3,3,3,268.000,9.000,277.000,4.000,268.000,9.000,277.000,4.000,3044,0.822984
3,3,3,3,395.000,223.000,416.000,247.000,395.000,223.000,416.000,247.000,3045,0.822403
3,3,3,3,371.000,115.000,390.000,120.000,371.000,115.000,390.000,120.000,3046,0.822393
3,3,3,3,544.000,82.000,599.000,104.000,544.000,82.000,599.000,104.000,3047,0.817688
3,3,3,3,362.000,99.000,379.000,106.000,362.000,99.000,379.000,106.000,3048,0.816125
3,3,3,3,238.000,325.000,240.000,336.000,238.000,325.000,240.000,336.000,3049,0.811993
3,3,3,3,280.000,133.000,291.000,131.000,280.000,133.000,291.000,131.000,3050,0.809900
3,3,3,3,433.000,22.000,456.000,25.000,433.000,22.000,456.000,25.000,3051,0.808375
3,3,3,3,431.000,41.000,456.000,47.000,431.000,41.000,456.000,47.000,3052,0.808097
3,3,3,3,394.000,227.000,416.000,251.000,394.000,227.000,416.000,251.000,3053,0.806349
3,3,3,3,297.000,69.000,308.000,66.000,297.000,69.000,308.000,66.000,3054,0.801823
3,3,3,3,285.000,27.000,297.000,22.000,285.000,27.000,297.000,22.000,3055,0.800643
3,3,3,3,328.000,197.000,340.000,208.000,328.000,197.000,340.000,208.000,3056,0.799234
3,3,3,3,392.000,52.000,408.000,56.000,392.000,52.000,408.000,56.000,3057,0.799077
3,3,3,3,433.000,58.000,455.000,65.000,433.000,58.000,455.000,65.000,3058,0.798920
3,3,3,3,421.000,175.000,447.000,200.000,421.000,175.000,447.000,200.000,3059,0.798915
4,4,4,4,345.000,182.000,360.000,199.000,345.000,182.000,360.000,199.000,4000,0.902044
4,4,4,4,363.000,140.000,379.000,151.000,363.000,140.000,379.000,151.000,4001,0.895012
